Fraud,ID,Status ,Age,Sex,Race,Hispanic,Education,HigherEducation,Employment,Monthly_income,Annual_Income,Marital_Status,Years_Married,Children,Previously_Married,Citizenship,Address,City,State,Zip_Code,Previously_Denied_Visa,Foreign_Residence_Requirement,History_of_Crime,Expiration_Date_of_Passport,Date_of_Marriage,Expired_Passport_Marriage,Spouse_DOB,Spouse_Status,Spouse_Sex,Spouse_Age,Spouse_Annual_Income,Spouse_History_of_Crime
Yes,705-782-362,US Citizen,50,F,African American,No,college,No,Unemployed,$0 ,$0 ,Married,11,0,No,United States,8018 St,Tampa,CA,91784,No,No,Yes,3/6/2021,11/10/2016,No,4/28/1976,Immigrant,M,45,"$72,007.00",No
Yes,874-884-198,US Citizen,37,F,African American,No,college,No,Unemployed,$0 ,$0 ,Married,14,0,Yes,United States,45381 Jenks Ave,New York,IN,46804,No,Yes,Yes,11/16/2022,7/8/2019,No,1/30/1974,Immigrant,M,47,"$155,333.00",Yes
Yes,135-304-956,US Citizen,26,F,African American,No,HS,No,Unemployed,$0 ,$0 ,Married,0,0,No,United States,2167 Santais Rd,New York,NJ,8611,No,No,Yes,8/21/2018,4/1/2022,Yes,12/14/1994,Immigrant,M,27,"$128,627.00",Yes
Yes,540-929-847,US Citizen,44,M,White,No,college,No,FT,"$13,598 ","$163,176 ",Married,5,0,No,United States,36 Saxton St ,Bridgewater,NJ,7660,No,No,Yes,1/27/2018,7/13/2019,Yes,6/27/1981,Immigrant,F,40,"$175,096.00",Yes
Yes,174-341-912,US Citizen,48,F,African American,No,college,No,FT,"$6,974 ","$83,688 ",Married,0,0,No,United States,14 Saxton St ,Baltimore,OH,45324,No,Yes,Yes,8/2/2020,7/20/2017,No,9/22/1986,Immigrant,M,35,"$95,682.00",Yes
Yes,125-751-587,US Citizen,23,M,African American,No,college,No,Unemployed,$0 ,$0 ,Married,9,0,No,United States,18 Rock Hill St ,Pasadenaburg,IA,50310,No,No,Yes,1/7/2016,2/4/2024,Yes,9/29/1991,Immigrant,F,30,"$191,430.00",Yes
Yes,347-522-842,US Citizen,49,F,African American,No,college,No,FT,"$14,144 ","$169,728 ",Married,2,0,No,United States,76 North Mur Hill Drive ,Kennedale,FL,33010,No,No,Yes,9/9/2023,11/22/2019,No,9/4/1995,Immigrant,M,26,"$194,265.00",Yes
Yes,344-679-290,Immigrant,32,M,African American,No,MA,Yes,PT,"$7,919 ","$95,028 ",Married,3,0,No,El Salvador,220 Railroad St ,Brooklyn,NJ,89701,No,No,Yes,1/12/2025,4/28/2016,No,1/29/1991,US Citizen,F,30,"$52,035.00",No
Yes,989-570-613,US Citizen,25,F,African American,No,college,No,FT,"$5,770 ","$69,240 ",Married,5,0,No,United States,6 Princess Street ,Greensboro,CA,91776,No,Yes,Yes,8/27/2021,2/1/2020,No,10/27/1990,Immigrant,M,31,"$79,908.00",Yes
Yes,700-937-950,US Citizen,41,F,African American,No,college,No,Unemployed,$0 ,$0 ,Divorced,3,0,Yes,United States,9 Flower Rd,Cathea,NJ,8611,No,No,No,5/20/2020,2/18/2016,No,5/23/1985,Immigrant,M,36,"$132,012.00",No
Yes,787-651-773,US Citizen,25,F,African American,No,college,No,FT,"$10,426 ","$125,112 ",Married,10,0,Yes,United States,3388 S Hulen St ,Elkhart,FL,32254,No,No,Yes,6/27/2022,6/29/2018,No,5/12/1981,Immigrant,M,40,"$79,506.00",Yes
Yes,237-816-557,US Citizen,22,M,African American,No,MA,Yes,PT,"$1,608 ","$19,296 ",Divorced,12,0,Yes,United States,2 A Kelley Dr,Laton,OH,45324,Yes,No,Yes,9/12/2025,4/4/2022,No,12/4/1986,Immigrant,F,35,"$123,401.00",Yes
Yes,747-636-234,Immigrant,26,M,African American,No,BA,Yes,Unemployed,"$12,331 ","$147,972 ",Married,11,0,Yes,South Korea,362 South Dr,Southfield,CA,90016,No,No,Yes,7/22/2025,11/13/2022,No,5/2/1993,US Citizen,F,28,"$53,003.00",No
Yes,225-480-259,US Citizen,28,F,African American,No,college,No,FT,"$15,267 ","$183,204 ",Divorced,1,0,Yes,United States,5531th St #1,Muskegon,NJ,70320,No,Yes,Yes,9/27/2024,5/26/2016,No,8/27/1993,Immigrant,M,28,"$121,745.00",No
Yes,417-482-985,US Citizen,55,F,White,No,HS,No,FT,"$5,540 ","$66,480 ",Married,12,0,No,United States,77 E Applegate St ,New York,NJ,7660,No,Yes,Yes,4/23/2020,6/18/2021,Yes,11/9/1975,Immigrant,M,46,"$104,684.00",No
Yes,727-133-657,US Citizen,26,M,African American,No,college,No,FT,"$16,411 ","$196,932 ",Married,6,0,Yes,United States,61 Lake St,Abilene,CT,50315,No,No,Yes,7/18/2019,6/16/2016,No,6/21/1997,Immigrant,F,24,"$194,721.00",Yes
Yes,885-105-482,US Citizen,38,M,African American,No,college,No,FT,"$5,959 ","$71,508 ",Married,8,0,No,United States,1422 Lookout Street ,Inland,FL,33010,No,Yes,Yes,4/2/2024,2/5/2021,No,5/6/1982,Immigrant,F,39,"$198,435.00",No
Yes,351-388-506,US Citizen,39,M,White,No,college,No,FT,"$5,165 ","$61,980 ",Married,13,0,No,United States,9422 E 15th St,Calumet City,CA,91776,No,No,Yes,10/15/2018,10/7/2025,Yes,1/13/1971,Immigrant,F,50,"$147,762.00",No
Yes,874-399-750,US Citizen,22,M,African American,No,college,No,PT,"$1,856 ","$22,272 ",Married,2,0,No,United States,3672 Msteoldm St,Phoenix,MA,33010,No,Yes,Yes,11/9/2022,7/19/2023,Yes,5/11/1991,Immigrant,F,30,"$121,889.00",No
Yes,153-413-518,US Citizen,27,F,African American,No,college,No,FT,"$13,816 ","$165,792 ",Married,11,0,No,United States,759 Cypress St ,Suverton,CA,91776,No,No,No,1/2/2016,2/18/2025,Yes,4/2/1988,Immigrant,M,33,"$75,692.00",Yes
Yes,503-448-840,Immigrant,22,M,African American,No,MA,Yes,FT,"$6,306 ","$75,672 ",Married,13,0,No,Cuba,72 South Manor Station Drive ,Nazareth,NJ,7660,No,Yes,No,9/29/2022,12/21/2019,No,3/26/1985,US Citizen,F,36,"$54,944.00",No
Yes,113-392-317,Immigrant,49,M,African American,No,college,No,PT,"$14,210 ","$170,520 ",Married,4,0,Yes,India,9082 N Main Street ,North San Francuse,CA,90016,No,No,No,9/15/2023,7/9/2024,Yes,5/22/1978,US Citizen,F,43,"$50,128.00",No
Yes,306-157-143,US Citizen,23,M,African American,No,college,No,FT,"$13,389 ","$160,668 ",Married,10,0,No,United States,7287 Lewis Rd #9,Holisterstown,NJ,7660,No,Yes,Yes,3/14/2019,1/7/2020,Yes,1/3/1985,Immigrant,F,36,"$170,746.00",Yes
Yes,742-140-101,US Citizen,24,F,African American,No,college,No,FT,"$7,033 ","$84,396 ",Married,6,0,No,United States,3008 Southwyck Blvd #4492,Jackson,CA,90016,No,No,No,6/14/2018,3/1/2021,Yes,5/13/1984,Immigrant,M,37,"$154,887.00",No
Yes,986-976-112,US Citizen,31,F,African American,No,college,No,FT,"$11,244 ","$134,928 ",Married,3,0,No,United States,42 Peg Shop St ,Grayslake,FL,33010,No,Yes,Yes,10/4/2021,3/6/2019,No,11/17/1997,Immigrant,M,24,"$91,936.00",Yes
Yes,124-340-700,US Citizen,33,F,African American,No,college,No,FT,"$7,785 ","$93,420 ",Married,0,0,Yes,United States,3386 Leeton Ridge St ,Woonsocke,MA,18030,No,No,Yes,7/10/2023,10/9/2023,Yes,9/19/1989,Immigrant,M,32,"$164,749.00",Yes
Yes,927-924-456,US Citizen,22,M,African American,No,college,No,FT,"$11,776 ","$141,312 ",Divorced,2,0,No,United States,762194th St,Port Stroudsburg,IA,50315,No,No,No,5/20/2019,1/4/2020,Yes,2/8/1978,Immigrant,F,43,"$91,899.00",Yes
Yes,859-397-138,US Citizen,24,F,African American,No,HS,No,PT,"$1,054 ","$12,648 ",Married,0,0,No,United States,2275 Prosperity Dr,Portland,OH,45324,No,Yes,Yes,11/27/2017,6/3/2018,Yes,10/14/1990,Immigrant,M,31,"$152,917.00",No
Yes,668-740-403,US Citizen,40,F,African American,No,college,No,FT,"$7,353 ","$88,236 ",Married,1,0,Yes,United States,177 State Route 35 Circle ,Moss,MA,18030,No,Yes,Yes,1/5/2022,8/28/2024,Yes,10/21/1973,Immigrant,M,48,"$161,229.00",Yes
Yes,676-545-786,Immigrant,39,M,African American,No,MA,Yes,Unemployed,"$6,301 ","$75,612 ",Married,10,0,No,Dominican Republic,2 Bowman Lane ,Cedar Falls,NJ,7660,No,No,Yes,1/19/2018,8/21/2022,Yes,10/15/1992,US Citizen,F,29,"$40,223.00",No
Yes,202-237-148,US Citizen,39,F,African American,No,college,No,FT,"$12,367 ","$148,404 ",Married,12,0,No,United States,3277 W Dupont St,Marshwood,FL,33013,No,No,No,10/11/2025,3/14/2018,No,6/24/1974,Immigrant,M,47,"$178,949.00",No
Yes,630-473-740,US Citizen,25,F,African American,No,college,No,FT,"$11,498 ","$137,976 ",Divorced,1,0,Yes,United States,1427  Blic Ave ,Chicago,NJ,7302,No,No,No,5/27/2023,10/22/2024,Yes,2/2/1980,Immigrant,M,41,"$157,222.00",No
Yes,402-839-218,US Citizen,25,F,White,No,college,No,FT,"$13,054 ","$156,648 ",Married,15,0,No,United States,30 Briarwood Ave ,Balellen,IN,46804,No,Yes,Yes,2/5/2018,8/31/2025,Yes,12/5/1985,Immigrant,M,36,"$85,161.00",Yes
Yes,181-498-340,US Citizen,26,M,African American,No,college,No,FT,"$13,197 ","$158,364 ",Married,11,0,Yes,United States,7342860 Dorigo Ln,Newark,NJ,7660,No,No,Yes,10/9/2021,10/12/2019,No,11/21/1998,Immigrant,F,23,"$105,911.00",No
Yes,466-972-706,US Citizen,48,F,African American,No,college,No,FT,"$16,986 ","$203,832 ",Divorced,8,0,No,United States,32 E 3rd St #9,Philadelphia,NV,89701,No,Yes,Yes,10/20/2019,4/17/2018,No,9/28/1985,Immigrant,M,36,"$109,514.00",Yes
Yes,565-430-196,US Citizen,27,M,Hispanic,Yes,college,No,FT,"$9,424 ","$113,088 ",Divorced,7,0,Yes,United States,3086 Strawberry Ave ,Goodlettsville,CA,91776,No,No,Yes,2/17/2019,4/6/2017,No,8/11/1986,Immigrant,F,35,"$197,319.00",Yes
Yes,645-326-418,US Citizen,28,F,Hispanic,Yes,college,No,FT,"$10,543 ","$126,516 ",Divorced,5,0,No,United States,922 Car Pablo Lane ,Ro Cajon,NJ,7660,No,Yes,Yes,1/2/2019,6/23/2025,Yes,2/12/1974,Immigrant,M,47,"$154,570.00",Yes
Yes,520-912-616,US Citizen,29,F,White,No,HS,No,FT,"$9,357 ","$112,284 ",Married,6,0,Yes,United States,35413 N 2nd St #379,Newark,OH,45324,No,No,Yes,8/20/2016,10/31/2023,Yes,2/10/1973,Immigrant,M,48,"$146,097.00",Yes
Yes,460-702-421,US Citizen,38,F,African American,No,college,No,FT,"$9,379 ","$112,548 ",Married,7,0,Yes,United States,369 Mnglewood St ,Yonkers,FL,33010,No,Yes,Yes,9/28/2021,4/16/2019,No,5/22/1993,Immigrant,M,28,"$78,085.00",Yes
Yes,722-604-862,US Citizen,53,F,African American,No,HS,No,FT,"$9,167 ","$110,004 ",Married,4,0,No,United States,893 E Main Ave,Vinverett,FL,33010,No,Yes,Yes,7/30/2016,11/29/2016,Yes,9/13/1990,Immigrant,M,31,"$72,941.00",No
Yes,560-703-313,US Citizen,37,F,African American,No,college,No,FT,"$5,301 ","$63,612 ",Married,5,0,Yes,United States,4682 Sierra Rd,Mount Chesterville,FL,33010,No,Yes,Yes,11/25/2022,10/4/2016,No,11/21/1977,Immigrant,M,44,"$156,196.00",No
Yes,680-389-556,US Citizen,44,M,African American,No,college,No,FT,"$7,918 ","$95,016 ",Divorced,2,0,No,United States,. W 222 Morris Ave,Irving,NJ,8611,No,No,Yes,12/7/2016,10/15/2020,Yes,8/21/1972,Immigrant,F,49,"$113,451.00",Yes
Yes,780-969-166,US Citizen,32,F,White,No,MA,Yes,FT,"$9,036 ","$108,432 ",Married,4,0,No,United States,763 New River Drive ,King Of Prussia,OH,45324,No,Yes,Yes,5/29/2018,2/11/2019,Yes,8/24/1977,Immigrant,M,44,"$84,956.00",No
Yes,968-272-422,US Citizen,24,F,African American,No,HS,No,FT,"$11,073 ","$132,876 ",Married,9,0,Yes,United States,33 Saney W Drive ,Pilwaukee,CA,92501,No,Yes,No,8/8/2017,3/31/2020,Yes,9/22/1991,Immigrant,M,30,"$114,739.00",Yes
Yes,789-998-470,Immigrant,24,M,African American,No,BA,Yes,PT,"$13,311 ","$159,732 ",Married,11,0,Yes,China,1042 Atlantic Avenue ,Pikeboro,NJ,7660,No,No,Yes,3/10/2024,10/6/2017,No,11/7/1976,US Citizen,F,45,"$51,796.00",No
Yes,211-631-385,US Citizen,46,F,Hispanic,Yes,college,No,FT,"$13,725 ","$164,700 ",Married,14,0,Yes,United States,694 Helen St ,Findlay,CA,91776,No,Yes,Yes,7/7/2019,2/19/2025,Yes,6/25/1973,Immigrant,M,48,"$100,115.00",Yes
Yes,490-194-705,US Citizen,32,F,African American,No,college,No,FT,"$15,444 ","$185,328 ",Married,9,0,No,United States,38194 N French Rd,Williamsboro,CA,90016,No,No,Yes,2/18/2019,7/27/2023,Yes,10/11/1997,Immigrant,M,24,"$60,219.00",Yes
Yes,636-807-468,US Citizen,34,F,Hispanic,Yes,college,No,FT,"$6,435 ","$77,220 ",Married,1,0,Yes,United States,15734 Applegate Drive ,Sitttleville,CA,91776,Yes,No,Yes,7/20/2020,7/14/2017,No,2/9/1998,Immigrant,M,23,"$169,095.00",No
Yes,336-411-896,US Citizen,28,F,African American,No,college,No,Unemployed,$0 ,$0 ,Married,14,0,No,United States,142 Belmont St ,Hycramento,UT,50315,No,No,Yes,8/9/2019,12/27/2025,Yes,8/31/1972,Immigrant,M,49,"$117,701.00",No
Yes,238-494-348,US Citizen,37,F,Multiple Races,No,college,No,FT,"$6,021 ","$72,252 ",Married,15,0,Yes,United States,.16 W Dupont St,Richardson,IA,50315,No,Yes,Yes,9/7/2024,10/30/2017,No,4/8/1979,Immigrant,M,42,"$70,725.00",Yes
Yes,484-217-576,US Citizen,23,F,African American,No,HS,No,FT,"$12,655 ","$151,860 ",Married,12,0,No,United States,9448 Contor Road ,Brainerd,IA,50701,No,No,No,8/17/2017,2/7/2019,Yes,3/4/1978,Immigrant,M,43,"$183,705.00",No
Yes,853-732-820,Immigrant,23,M,African American,No,college,No,FT,"$12,676 ","$152,112 ",Divorced,10,0,No,Cuba,286 Garden Street ,Cherry Hill,NJ,7660,No,No,No,12/17/2020,4/14/2024,Yes,2/14/1987,US Citizen,F,34,"$44,967.00",No
Yes,250-681-809,US Citizen,28,F,African American,No,college,No,Unemployed,$0 ,$0 ,Married,7,0,No,United States,282 Morris Ave,Rolling Meadows,CA,91776,Yes,No,Yes,1/4/2021,3/17/2021,Yes,8/3/1978,Immigrant,M,43,"$88,400.00",No
Yes,268-881-336,Immigrant,37,M,African American,No,college,No,Unemployed,"$10,843 ","$130,116 ",Married,12,0,Yes,China,76 Green Birch Hill St ,Milwaukee,OH,45324,No,Yes,Yes,5/10/2024,9/27/2021,No,11/15/1977,US Citizen,F,44,"$30,132.00",No
Yes,505-501-932,US Citizen,29,F,African American,No,college,No,FT,"$14,104 ","$169,248 ",Divorced,15,0,Yes,United States,36 W. Wentworth Drive ,Appleton,FL,33010,No,Yes,Yes,3/12/2020,7/5/2017,No,2/27/1978,Immigrant,M,43,"$92,491.00",Yes
Yes,513-810-602,US Citizen,37,F,African American,No,HS,No,FT,"$10,655 ","$127,860 ",Married,6,0,Yes,United States,63381 Jenks Ave,Riverside Heights,IN,46804,No,Yes,Yes,7/20/2020,8/23/2021,Yes,9/24/1975,Immigrant,M,46,"$183,242.00",Yes
Yes,123-833-842,US Citizen,49,F,African American,No,college,No,FT,"$16,324 ","$195,888 ",Married,14,0,No,United States,14239 East Constitution St ,Tonsing,OH,4411,No,No,Yes,5/28/2017,12/26/2020,Yes,10/18/1998,Immigrant,M,23,"$191,476.00",Yes
Yes,134-289-458,US Citizen,31,F,African American,No,college,No,FT,"$12,215 ","$146,580 ",Married,2,0,No,United States,21 Ruan St,Baltimore,MA,18030,No,Yes,Yes,9/9/2018,12/5/2019,Yes,5/19/1971,Immigrant,M,50,"$132,706.00",No
Yes,399-646-284,US Citizen,26,F,Hispanic,Yes,HS,No,FT,"$8,092 ","$97,104 ",Married,7,0,Yes,United States,92 W Richmondth St,Farstone,VA,22102,No,No,Yes,7/13/2024,1/13/2017,No,2/8/1986,Immigrant,M,35,"$82,294.00",No
Yes,853-895-163,Immigrant,55,M,Hispanic,Yes,MA,Yes,Unemployed,"$16,695 ","$200,340 ",Divorced,8,0,Yes,Vietnam,61556 Black80house Drive ,Nutley,CA,90016,No,No,Yes,7/12/2023,2/4/2017,No,12/29/1995,US Citizen,F,26,"$54,841.00",No
Yes,697-966-155,Immigrant,47,M,African American,No,BA,Yes,FT,"$13,043 ","$156,516 ",Married,11,0,Yes,South Korea,5385 Green Hill St ,Alpharetta,CA,90034,No,Yes,No,8/24/2017,4/23/2023,Yes,7/10/1998,US Citizen,F,23,"$39,218.00",No
Yes,514-652-140,US Citizen,45,F,African American,No,HS,No,FT,"$11,118 ","$133,416 ",Married,7,0,No,United States,823 North York Drive ,Pearl,CA,90034,No,No,No,7/24/2025,6/22/2016,No,10/19/1973,Immigrant,M,48,"$95,796.00",No
Yes,793-431-515,US Citizen,41,F,African American,No,college,No,FT,"$13,979 ","$167,748 ",Married,2,0,Yes,United States,808ste St,Camden,TX,79109,No,Yes,No,1/2/2018,2/15/2023,Yes,9/12/1996,Immigrant,M,25,"$134,958.00",No
Yes,524-714-585,US Citizen,22,M,African American,No,college,No,FT,"$14,190 ","$170,280 ",Married,0,0,Yes,United States,55 Birchtown Ave,Northfield,FL,32254,No,No,No,12/11/2020,2/5/2024,Yes,6/26/1995,Immigrant,F,26,"$80,546.00",Yes
Yes,592-191-455,US Citizen,23,F,White,No,college,No,FT,"$13,164 ","$157,968 ",Divorced,3,0,No,United States,5 Littleet ,Hayward,IN,46804,Yes,No,Yes,7/8/2020,10/14/2017,No,12/3/1975,Immigrant,M,46,"$77,901.00",Yes
Yes,960-759-566,US Citizen,26,F,African American,No,college,No,FT,"$15,842 ","$190,104 ",Divorced,8,0,No,United States,61 Birch Lake St ,Oallas,FL,33010,No,Yes,Yes,5/9/2022,11/16/2017,No,1/6/1995,Immigrant,M,26,"$107,991.00",Yes
Yes,542-184-506,Immigrant,37,M,African American,No,BA,Yes,Unemployed,"$12,882 ","$154,584 ",Married,12,0,Yes,El Salvador,69734 E Carrillo St,Theonroe,NJ,8611,No,Yes,Yes,7/11/2022,10/1/2017,No,11/22/1973,US Citizen,F,48,"$42,462.00",No
Yes,221-646-918,US Citizen,22,M,African American,No,BS,Yes,Unemployed,$0 ,$0 ,Divorced,8,0,Yes,United States,9380 Dearborn Ave,Longmond Beach,NJ,8611,No,No,No,1/17/2023,8/5/2020,No,6/8/1994,Immigrant,F,27,"$87,233.00",No
Yes,448-108-177,Immigrant,45,M,Hispanic,Yes,MA,Yes,FT,"$16,055 ","$192,660 ",Married,13,0,No,El Salvador,36 Coad ,Orlando,IA,50701,No,Yes,Yes,3/16/2024,10/15/2019,No,2/29/1996,US Citizen,F,25,"$53,350.00",No
Yes,529-191-486,US Citizen,36,F,Multiple Races,No,college,No,PT,"$2,578 ","$30,936 ",Divorced,13,0,Yes,United States,88217 Green Hill St,Fuqua,IL,73023,No,No,No,7/29/2016,7/3/2023,Yes,1/14/1982,Immigrant,M,39,"$186,850.00",Yes
Yes,503-572-718,US Citizen,42,F,African American,No,college,No,FT,"$16,308 ","$195,696 ",Married,14,0,Yes,United States,61 Birch Creek St ,Opa Locka,NJ,8611,Yes,Yes,Yes,3/13/2021,3/23/2018,No,10/11/1997,Immigrant,M,24,"$122,899.00",Yes
Yes,622-616-178,Immigrant,35,F,African American,No,BA,Yes,FT,"$13,670 ","$164,040 ",Married,3,0,Yes,Dominican Republic,5378 Sunset Road ,Media,FL,33010,No,No,Yes,10/17/2017,12/7/2025,Yes,10/5/1971,US Citizen,M,50,"$51,158.00",No
Yes,199-549-195,US Citizen,36,F,Multiple Races,No,HS,No,Unemployed,$0 ,$0 ,Married,7,0,No,United States,719 Vernon Ave ,Chandgo,IA,7660,No,No,Yes,12/14/2023,6/3/2019,No,11/14/1994,Immigrant,M,27,"$143,873.00",Yes
Yes,665-779-686,Immigrant,52,F,African American,No,BA,Yes,Unemployed,"$8,572 ","$102,864 ",Divorced,6,0,No,Philippines,54 Deerfield Street ,Johnston,CA,91776,No,Yes,Yes,1/22/2018,9/21/2020,Yes,11/3/1984,US Citizen,M,37,"$54,043.00",No
Yes,371-698-314,US Citizen,31,F,African American,No,college,No,FT,"$16,317 ","$195,804 ",Married,13,0,No,United States,69 Newport St ,Springfield,FL,32254,No,Yes,Yes,7/9/2020,10/16/2016,No,6/15/1980,Immigrant,M,41,"$129,858.00",Yes
Yes,670-518-848,Immigrant,52,M,African American,No,BA,Yes,Unemployed,"$16,976 ","$203,712 ",Married,0,0,Yes,Vietnam,55713 Lake St ,Senx,FL,33010,No,No,Yes,3/8/2019,3/20/2023,Yes,4/6/1982,US Citizen,F,39,"$36,694.00",No
Yes,892-457-523,US Citizen,48,F,African American,No,college,No,FT,"$11,469 ","$137,628 ",Married,8,0,No,United States,35454 State Ave,A Jose,CA,92501,No,No,No,10/7/2022,1/13/2021,No,7/9/1998,Immigrant,M,23,"$105,347.00",Yes
Yes,369-742-987,Immigrant,48,F,African American,No,MA,Yes,Unemployed,"$7,169 ","$86,028 ",Married,9,0,Yes,Vietnam,9 N Groesbeck Hwy,Peachtree City,IA,50701,No,No,No,10/14/2021,4/20/2023,Yes,4/7/1975,US Citizen,M,46,"$30,495.00",No
Yes,858-665-980,US Citizen,45,F,African American,No,college,No,FT,"$5,298 ","$63,576 ",Married,0,0,No,United States,61 Elizabeth St ,San Diego,FL,33010,No,Yes,Yes,7/11/2020,11/11/2024,Yes,3/28/1988,Immigrant,M,33,"$62,256.00",Yes
Yes,833-619-592,US Citizen,33,F,White,No,college,No,PT,"$1,483 ","$17,796 ",Married,13,0,No,United States,71 San Mateo Street ,Tulaint Charlessburg,IA,50701,No,No,No,11/9/2023,10/20/2025,Yes,4/25/1974,Immigrant,M,47,"$198,098.00",Yes
Yes,386-899-728,Immigrant,27,M,White,No,MA,Yes,FT,"$8,857 ","$106,284 ",Divorced,7,0,No,Cuba,201 Bowman St ,A Paso,NJ,8611,No,No,Yes,1/2/2016,10/20/2018,Yes,3/12/1991,US Citizen,F,30,"$40,981.00",No
Yes,185-551-755,US Citizen,35,F,Hispanic,Yes,college,No,Unemployed,$0 ,$0 ,Married,4,0,No,United States,2 S Biscayne Blvd,Mesport,NJ,8611,No,No,Yes,5/10/2017,2/24/2019,Yes,7/1/1989,Immigrant,M,32,"$110,616.00",No
Yes,585-755-240,US Citizen,31,F,African American,No,college,No,PT,"$2,639 ","$31,668 ",Divorced,4,0,No,United States,4 10 14th St #9,Webster,NJ,7660,No,No,Yes,8/20/2017,1/10/2018,Yes,9/11/1997,Immigrant,M,24,"$76,858.00",No
Yes,168-575-324,US Citizen,38,F,African American,No,HS,No,FT,"$12,408 ","$148,896 ",Married,15,0,Yes,United States,333 North River Court ,Arlington Hills,FL,33010,No,No,No,9/6/2018,9/1/2019,Yes,3/21/1984,Immigrant,M,37,"$156,178.00",Yes
Yes,517-796-827,US Citizen,28,M,African American,No,college,No,FT,"$10,951 ","$131,412 ",Divorced,7,0,No,United States,362 Belmont St ,Wantagh,IA,50701,No,No,No,3/17/2022,2/25/2023,Yes,4/17/1993,Immigrant,F,28,"$107,102.00",No
Yes,933-718-907,US Citizen,23,F,African American,No,college,No,FT,"$10,066 ","$120,792 ",Married,3,0,No,United States,65 Saint Ann St,Fairpt 97ville,NJ,7660,No,Yes,Yes,11/9/2023,10/3/2021,No,3/21/1977,Immigrant,M,44,"$73,218.00",Yes
Yes,536-564-911,US Citizen,23,M,Hispanic,Yes,college,No,FT,"$13,633 ","$163,596 ",Married,8,0,No,United States,566 Millley Road ,Miami,IA,50701,No,No,Yes,2/17/2024,12/24/2024,Yes,5/22/1990,Immigrant,F,31,"$157,862.00",No
Yes,160-965-561,US Citizen,35,F,Hispanic,Yes,college,No,FT,"$15,429 ","$185,148 ",Married,9,0,No,United States,8095 Acaemarsh Street ,Lawrence Township,IA,50315,No,No,Yes,6/15/2017,5/11/2019,Yes,9/5/1995,Immigrant,M,26,"$109,633.00",Yes
Yes,811-606-179,US Citizen,24,F,African American,No,college,No,FT,"$12,492 ","$149,904 ",Divorced,11,0,Yes,United States,229 San Pablo Street ,Westburg,IA,50701,No,No,Yes,11/12/2019,6/16/2020,Yes,10/7/1989,Immigrant,M,32,"$104,846.00",No
Yes,217-423-210,US Citizen,39,M,African American,No,HS,No,Unemployed,$0 ,$0 ,Married,10,0,No,United States,4 Hamilton St #1,Bridgewater,CA,92501,Yes,No,Yes,2/12/2018,7/12/2021,Yes,2/3/1976,Immigrant,F,45,"$170,029.00",Yes
Yes,217-926-521,US Citizen,36,F,Hispanic,Yes,college,No,FT,"$5,854 ","$70,248 ",Married,14,0,Yes,United States,21 Middlewood St ,Vinckerburg,NJ,7660,No,No,Yes,7/26/2025,10/31/2024,No,11/2/1972,Immigrant,M,49,"$185,199.00",Yes
Yes,857-399-216,US Citizen,42,F,African American,No,college,No,FT,"$15,532 ","$186,384 ",Married,2,0,Yes,United States,808ywood Lane ,Elizabethtown,IA,50322,No,Yes,Yes,2/27/2020,2/1/2017,No,10/17/1994,Immigrant,M,27,"$131,865.00",Yes
Yes,546-357-751,US Citizen,40,M,African American,No,HS,No,PT,"$2,339 ","$28,068 ",Divorced,7,0,Yes,United States,4 Glenholme Street ,Saint Augustine,OH,45324,No,Yes,Yes,10/30/2024,1/18/2025,Yes,2/14/1978,Immigrant,F,43,"$83,096.00",No
Yes,559-607-377,Immigrant,23,M,African American,No,BA,Yes,Unemployed,"$14,166 ","$169,992 ",Married,14,0,No,Vietnam,2044 Southern Blvd,Raeford,NJ,7660,No,No,No,2/2/2017,10/24/2025,Yes,1/12/1995,US Citizen,F,26,"$53,775.00",No
Yes,594-232-654,US Citizen,49,F,Hispanic,Yes,college,No,FT,"$14,787 ","$177,444 ",Divorced,6,0,Yes,United States,52777 Leaders Heights Rd,Galloway,MA,18030,No,Yes,Yes,7/11/2020,6/14/2019,No,2/8/1988,Immigrant,M,33,"$105,018.00",No
Yes,472-688-138,US Citizen,27,F,African American,No,college,No,FT,"$7,680 ","$92,160 ",Married,0,0,Yes,United States,354 S Carad St,Shrewsbury,IA,50310,No,No,No,2/1/2020,7/29/2017,No,12/28/1990,Immigrant,M,31,"$150,284.00",Yes
Yes,352-427-622,US Citizen,23,F,African American,No,HS,No,FT,"$13,401 ","$160,812 ",Married,9,0,No,United States,55734 Eraw Glenwood St ,New York,CA,91776,No,No,Yes,8/10/2018,4/24/2024,Yes,11/12/1974,Immigrant,M,47,"$158,983.00",No
Yes,452-688-311,Immigrant,26,F,Hispanic,Yes,college,No,FT,"$12,594 ","$151,128 ",Married,13,0,No,India,330 N 14th St,New Orleans,IA,50701,No,No,Yes,1/20/2020,2/12/2023,Yes,1/4/1989,US Citizen,M,32,"$40,962.00",No
Yes,789-531-975,Immigrant,31,M,African American,No,BA,Yes,FT,"$12,221 ","$146,652 ",Married,2,0,Yes,South Korea,2 E 15th St,Orlisterstown,NJ,7660,No,Yes,No,4/18/2016,12/9/2018,Yes,12/15/1994,US Citizen,F,27,"$38,357.00",No
